Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"RL","Utilisation des terres","834","République-Unie de Tanzanie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","94730","T","Chiffre non officiel"
"RL","Utilisation des terres","638","Réunion","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","252","A","Chiffre officiel"
"RL","Utilisation des terres","642","Roumanie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","23840","A","Chiffre officiel"
"RL","Utilisation des terres","826","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","24361","A","Chiffre officiel"
"RL","Utilisation des terres","646","Rwanda","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2634","A","Chiffre officiel"
"RL","Utilisation des terres","732","Sahara occidental","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","26600","T","Chiffre non officiel"
"RL","Utilisation des terres","652","Saint-Barthélemy","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2","A","Chiffre officiel"
"RL","Utilisation des terres","654","Sainte-Hélène, Ascension et Tristan da Cunha","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","39","I","Valeur imputée"
"RL","Utilisation des terres","662","Sainte-Lucie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","62","A","Chiffre officiel"
"RL","Utilisation des terres","659","Saint-Kitts-et-Nevis","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","26","A","Chiffre officiel"
"RL","Utilisation des terres","674","Saint-Marin","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","6","A","Chiffre officiel"
"RL","Utilisation des terres","663","Saint-Martin (partie française)","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","5","A","Chiffre officiel"
"RL","Utilisation des terres","666","Saint-Pierre-et-Miquelon","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","24","A","Chiffre officiel"
"RL","Utilisation des terres","336","Saint-Siège","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","0.044","A","Chiffre officiel"
"RL","Utilisation des terres","670","Saint-Vincent-et-les Grenadines","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","39","A","Chiffre officiel"
