Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","710","South Africa","5110","Area","6600","Country area","2013","2013","1000 ha","121909","A","Official figure"
"RL","Land Use","728","South Sudan","5110","Area","6600","Country area","2013","2013","1000 ha","64688.3","I","Imputed value"
"RL","Land Use","724","Spain","5110","Area","6600","Country area","2013","2013","1000 ha","50594","A","Official figure"
"RL","Land Use","144","Sri Lanka","5110","Area","6600","Country area","2013","2013","1000 ha","6561","A","Official figure"
"RL","Land Use","729","Sudan","5110","Area","6600","Country area","2013","2013","1000 ha","187800","I","Imputed value"
"RL","Land Use","740","Suriname","5110","Area","6600","Country area","2013","2013","1000 ha","16382","A","Official figure"
"RL","Land Use","752","Sweden","5110","Area","6600","Country area","2013","2013","1000 ha","52844.752","A","Official figure"
"RL","Land Use","756","Switzerland","5110","Area","6600","Country area","2013","2013","1000 ha","4129","A","Official figure"
"RL","Land Use","760","Syrian Arab Republic","5110","Area","6600","Country area","2013","2013","1000 ha","18518","A","Official figure"
"RL","Land Use","762","Tajikistan","5110","Area","6600","Country area","2013","2013","1000 ha","14255","A","Official figure"
"RL","Land Use","764","Thailand","5110","Area","6600","Country area","2013","2013","1000 ha","51312","A","Official figure"
"RL","Land Use","626","Timor-Leste","5110","Area","6600","Country area","2013","2013","1000 ha","1487","I","Imputed value"
"RL","Land Use","768","Togo","5110","Area","6600","Country area","2013","2013","1000 ha","5679","I","Imputed value"
"RL","Land Use","772","Tokelau","5110","Area","6600","Country area","2013","2013","1000 ha","1","A","Official figure"
"RL","Land Use","776","Tonga","5110","Area","6600","Country area","2013","2013","1000 ha","75","A","Official figure"
"RL","Land Use","780","Trinidad and Tobago","5110","Area","6600","Country area","2013","2013","1000 ha","513","A","Official figure"
"RL","Land Use","788","Tunisia","5110","Area","6600","Country area","2013","2013","1000 ha","16361","A","Official figure"
"RL","Land Use","792","Türkiye","5110","Area","6600","Country area","2013","2013","1000 ha","78535","A","Official figure"
"RL","Land Use","795","Turkmenistan","5110","Area","6600","Country area","2013","2013","1000 ha","48810","I","Imputed value"
"RL","Land Use","796","Turks and Caicos Islands","5110","Area","6600","Country area","2013","2013","1000 ha","95","A","Official figure"
"RL","Land Use","798","Tuvalu","5110","Area","6600","Country area","2013","2013","1000 ha","3","A","Official figure"
"RL","Land Use","800","Uganda","5110","Area","6600","Country area","2013","2013","1000 ha","24155","A","Official figure"
"RL","Land Use","804","Ukraine","5110","Area","6600","Country area","2013","2013","1000 ha","60355","A","Official figure"
"RL","Land Use","784","United Arab Emirates","5110","Area","6600","Country area","2013","2013","1000 ha","9864.79","A","Official figure"
"RL","Land Use","826","United Kingdom of Great Britain and Northern Ireland","5110","Area","6600","Country area","2013","2013","1000 ha","24361","A","Official figure"
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6600","Country area","2013","2013","1000 ha","94730","T","Unofficial figure"
"RL","Land Use","840","United States of America","5110","Area","6600","Country area","2013","2013","1000 ha","983151","A","Official figure"
"RL","Land Use","850","United States Virgin Islands","5110","Area","6600","Country area","2013","2013","1000 ha","35","A","Official figure"
"RL","Land Use","858","Uruguay","5110","Area","6600","Country area","2013","2013","1000 ha","17622","A","Official figure"
"RL","Land Use","860","Uzbekistan","5110","Area","6600","Country area","2013","2013","1000 ha","44410.3","A","Official figure"
"RL","Land Use","548","Vanuatu","5110","Area","6600","Country area","2013","2013","1000 ha","1219","I","Imputed value"
"RL","Land Use","862","Venezuela (Bolivarian Republic of)","5110","Area","6600","Country area","2013","2013","1000 ha","91205","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6600","Country area","2013","2013","1000 ha","33096","A","Official figure"
"RL","Land Use","876","Wallis and Futuna Islands","5110","Area","6600","Country area","2013","2013","1000 ha","14","A","Official figure"
"RL","Land Use","732","Western Sahara","5110","Area","6600","Country area","2013","2013","1000 ha","26600","T","Unofficial figure"
"RL","Land Use","887","Yemen","5110","Area","6600","Country area","2013","2013","1000 ha","52797","I","Imputed value"
"RL","Land Use","894","Zambia","5110","Area","6600","Country area","2013","2013","1000 ha","75261","A","Official figure"
"RL","Land Use","716","Zimbabwe","5110","Area","6600","Country area","2013","2013","1000 ha","39076","A","Official figure"
